trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-87.22946901554809,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-85.87869672435546,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-30.823578118503065,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-116.55953593113311,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,7,-60.464637420479654,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-77.13858185387907,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-210.20974709025342,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,15,-37.377256094200504,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-143.85169401932998,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-176.546696206689,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-139.1858735213174,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-40.80345723622306,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-59.90017161045852,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-147.7746726505429,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-122.53291198929679,"{0: 13, 1: 7, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-171.0664283784771,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-52.937294844916316,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-174.26770918634662,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-43.20442083305113,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-151.8645336278135,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",35,0,-189.96574428708672,"{0: 19, 1: 8, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",30,0,-88.78749952867351,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-134.5815297628566,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-39.13034665287085,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-129.7148805236247,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-139.7860153871186,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,-69.89700115505745,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,4,-8.299747204170217,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,0.9691503327958775,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,-112.29701320218298,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
